onset	duration	trial_type	accuracy	response_time
8.233	2	maint	1	0.513
11.333	2	rest	n/a	n/a
21.917	2	maint	1	0.979
25.734	2	rest	n/a	n/a
36.767	2	maint	0	0.667
40.601	2	rest	n/a	n/a
50.468	2	encod	1	1.049
54.434	2	rest	n/a	n/a
65.718	2	maint	0	0.585
69.168	2	rest	n/a	n/a
80.002	2	maint	0	1.034
84.585	2	rest	n/a	n/a
94.902	2	maint	0	0.535
98.152	2	rest	n/a	n/a
108.452	2	maint	0	0.466
112.202	2	rest	n/a	n/a
122.736	2	remov	1	0.516
126.186	2	rest	n/a	n/a
136.97	2	maint	1	1.154
141.07	2	rest	n/a	n/a
151.87	2	encod	1	0.878
155.487	2	rest	n/a	n/a
165.87	2	encod	0	0.984
169.721	2	rest	n/a	n/a
180.904	2	maint	0	0.662
184.854	2	rest	n/a	n/a
196.371	2	maint	1	0.904
199.988	2	rest	n/a	n/a
210.672	2	maint	0	1.261
215.455	2	rest	n/a	n/a
225.955	2	maint	0	0.605
229.955	2	rest	n/a	n/a
240.639	2	maint	1	1.285
244.622	2	rest	n/a	n/a
255.473	2	maint	0	0.939
259.323	2	rest	n/a	n/a
269.69	2	remov	0	0.479
273.173	2	rest	n/a	n/a
284.123	2	encod	0	0.655
287.74	2	rest	n/a	n/a
298.624	2	remov	0	0.521
301.924	2	rest	n/a	n/a
312.824	2	remov	1	0.614
316.491	2	rest	n/a	n/a
326.308	2	encod	0	1.593
330.608	2	rest	n/a	n/a
341.191	2	remov	1	1.148
345.858	2	rest	n/a	n/a
357.225	2	remov	0	0.464
360.875	2	rest	n/a	n/a
370.809	2	maint	0	1.444
375.759	2	rest	n/a	n/a
385.959	2	remov	0	0.748
389.643	2	rest	n/a	n/a
400.109	2	encod	1	0.925
404.376	2	rest	n/a	n/a
415.193	2	encod	0	0.875
418.777	2	rest	n/a	n/a
429.027	2	maint	0	0.86
432.527	2	rest	n/a	n/a
