onset	duration	trial_type	accuracy	response_time
9.183	2	encod	0	1.006
13.75	2	rest	n/a	n/a
24.251	2	remov	1	0.79
28.117	2	rest	n/a	n/a
38.368	2	maint	1	0.886
42.218	2	rest	n/a	n/a
53.318	2	encod	1	1.105
57.951	2	rest	n/a	n/a
68.818	2	remov	1	0.977
72.835	2	rest	n/a	n/a
82.735	2	maint	1	1.617
87.252	2	rest	n/a	n/a
97.452	2	remov	1	0.951
101.236	2	rest	n/a	n/a
111.936	2	remov	1	1.121
115.736	2	rest	n/a	n/a
126.27	2	encod	1	1.132
130.67	2	rest	n/a	n/a
141.42	2	encod	1	0.768
145.587	2	rest	n/a	n/a
156.087	2	remov	1	0.879
159.721	2	rest	n/a	n/a
170.388	2	maint	1	1.454
175.104	2	rest	n/a	n/a
185.921	2	maint	1	0.973
189.638	2	rest	n/a	n/a
200.055	2	remov	1	0.769
204.138	2	rest	n/a	n/a
215.422	2	maint	0	1.384
220.355	2	rest	n/a	n/a
231.056	2	maint	1	1.19
235.806	2	rest	n/a	n/a
246.456	2	remov	1	1.143
250.34	2	rest	n/a	n/a
260.79	2	remov	1	0.717
264.94	2	rest	n/a	n/a
275.49	2	maint	1	0.801
279.524	2	rest	n/a	n/a
290.107	2	encod	1	0.688
293.407	2	rest	n/a	n/a
303.707	2	encod	1	0.8
307.524	2	rest	n/a	n/a
318.741	2	maint	1	0.978
323.041	2	rest	n/a	n/a
333.092	2	remov	1	1.096
337.208	2	rest	n/a	n/a
347.809	2	encod	1	0.825
351.709	2	rest	n/a	n/a
362.026	2	encod	1	0.957
365.909	2	rest	n/a	n/a
376.209	2	remov	1	1.014
380.143	2	rest	n/a	n/a
391.076	2	maint	0	1.03
395.16	2	rest	n/a	n/a
405.877	2	maint	1	0.716
409.477	2	rest	n/a	n/a
420.061	2	encod	1	0.763
424.344	2	rest	n/a	n/a
434.861	2	remov	1	0.685
438.411	2	rest	n/a	n/a
