onset	duration	trial_type	accuracy	response_time
8.8	2	remov	1	0.888
13.117	2	rest	n/a	n/a
23.45	2	encod	1	1.547
28.5	2	rest	n/a	n/a
38.484	2	maint	1	0.911
42.367	2	rest	n/a	n/a
52.634	2	encod	1	1.02
56.318	2	rest	n/a	n/a
66.585	2	encod	1	1.24
71.235	2	rest	n/a	n/a
82.435	2	remov	0	0
87.102	2	rest	n/a	n/a
97.852	2	maint	1	0.612
101.902	2	rest	n/a	n/a
112.419	2	encod	1	0.923
116.219	2	rest	n/a	n/a
126.703	2	encod	1	1.727
131.119	2	rest	n/a	n/a
141.72	2	remov	1	0.631
145.42	2	rest	n/a	n/a
156.437	2	remov	1	0.909
159.937	2	rest	n/a	n/a
170.104	2	maint	1	0.538
173.637	2	rest	n/a	n/a
183.704	2	maint	1	0.698
187.354	2	rest	n/a	n/a
197.788	2	maint	1	0.919
201.854	2	rest	n/a	n/a
213.222	2	maint	1	0.513
216.388	2	rest	n/a	n/a
226.655	2	maint	1	0.438
230.572	2	rest	n/a	n/a
240.439	2	encod	1	0.794
244.422	2	rest	n/a	n/a
255.456	2	encod	1	0.774
259.689	2	rest	n/a	n/a
270.506	2	maint	1	0.746
274.756	2	rest	n/a	n/a
285.556	2	remov	1	0.987
289.573	2	rest	n/a	n/a
300.54	2	maint	1	1.33
304.54	2	rest	n/a	n/a
314.54	2	remov	1	0.71
318.607	2	rest	n/a	n/a
328.857	2	maint	1	0.635
332.391	2	rest	n/a	n/a
343.674	2	remov	0	1.351
348.391	2	rest	n/a	n/a
359.308	2	encod	1	0.799
363.042	2	rest	n/a	n/a
373.158	2	maint	0	1.274
377.025	2	rest	n/a	n/a
386.625	2	encod	1	0.673
390.442	2	rest	n/a	n/a
400.492	2	maint	1	0.572
403.859	2	rest	n/a	n/a
414.676	2	remov	1	1.832
419.226	2	rest	n/a	n/a
430.01	2	maint	1	0.652
433.527	2	rest	n/a	n/a
