onset	duration	trial_type	accuracy	response_time
8.667	2	maint	1	0.966
12.717	2	rest	n/a	n/a
23.651	2	remov	1	1.046
28.001	2	rest	n/a	n/a
38.551	2	remov	0	0
43.251	2	rest	n/a	n/a
53.885	2	maint	1	0.797
57.751	2	rest	n/a	n/a
68.385	2	encod	0	1.958
73.468	2	rest	n/a	n/a
83.352	2	encod	0	1.81
88.619	2	rest	n/a	n/a
99.386	2	remov	0	0
104.786	2	rest	n/a	n/a
115.203	2	remov	0	1.249
119.27	2	rest	n/a	n/a
129.52	2	remov	0	0
134.687	2	rest	n/a	n/a
145.737	2	maint	1	1.139
150.07	2	rest	n/a	n/a
160.154	2	remov	1	0.804
163.721	2	rest	n/a	n/a
174.671	2	maint	1	1.078
178.938	2	rest	n/a	n/a
189.405	2	encod	1	1.465
194.238	2	rest	n/a	n/a
204.638	2	encod	0	1.317
209.372	2	rest	n/a	n/a
220.589	2	remov	1	1.5
225.172	2	rest	n/a	n/a
235.922	2	remov	1	1.208
239.789	2	rest	n/a	n/a
250.306	2	remov	1	1.772
254.823	2	rest	n/a	n/a
264.856	2	encod	0	0.932
269.173	2	rest	n/a	n/a
279.857	2	maint	0	1.402
284.69	2	rest	n/a	n/a
294.607	2	maint	1	0.967
298.924	2	rest	n/a	n/a
309.524	2	maint	1	1.2
314.124	2	rest	n/a	n/a
325.508	2	encod	1	0.99
329.958	2	rest	n/a	n/a
341.025	2	encod	1	1.045
345.642	2	rest	n/a	n/a
356.525	2	remov	1	1.072
360.375	2	rest	n/a	n/a
370.792	2	encod	1	1.019
374.426	2	rest	n/a	n/a
384.443	2	remov	1	1.085
389.043	2	rest	n/a	n/a
399.776	2	remov	0	1.181
403.727	2	rest	n/a	n/a
414.56	2	encod	1	1.013
418.544	2	rest	n/a	n/a
429.144	2	encod	1	1.054
433.761	2	rest	n/a	n/a
443.978	2	maint	1	1.111
447.978	2	rest	n/a	n/a
