onset	duration	trial_type	accuracy	response_time
8.9	2	remov	1	0.973
12.65	2	rest	n/a	n/a
23.217	2	maint	0	1.086
26.934	2	rest	n/a	n/a
37.951	2	encod	1	0.944
41.934	2	rest	n/a	n/a
51.935	2	maint	1	0.859
55.368	2	rest	n/a	n/a
65.568	2	maint	0	1.045
69.502	2	rest	n/a	n/a
79.852	2	maint	1	0.73
83.652	2	rest	n/a	n/a
93.819	2	maint	0	0.951
97.536	2	rest	n/a	n/a
107.669	2	encod	1	0.75
111.553	2	rest	n/a	n/a
122.953	2	encod	1	1.102
127.486	2	rest	n/a	n/a
137.936	2	maint	0	0.827
141.487	2	rest	n/a	n/a
152.404	2	maint	1	0.91
156.287	2	rest	n/a	n/a
165.954	2	encod	1	0.759
169.704	2	rest	n/a	n/a
179.654	2	encod	1	0.945
183.238	2	rest	n/a	n/a
193.238	2	encod	0	1.243
197.071	2	rest	n/a	n/a
207.688	2	maint	1	0.781
211.138	2	rest	n/a	n/a
221.822	2	maint	0	0.91
226.039	2	rest	n/a	n/a
237.539	2	encod	0	0.866
241.889	2	rest	n/a	n/a
253.156	2	encod	1	0.871
257.156	2	rest	n/a	n/a
267.74	2	maint	1	0.802
271.606	2	rest	n/a	n/a
282.323	2	maint	1	0.842
286.64	2	rest	n/a	n/a
297.524	2	remov	0	1.466
302.424	2	rest	n/a	n/a
313.407	2	maint	1	0.953
317.924	2	rest	n/a	n/a
328.591	2	remov	0	0
333.291	2	rest	n/a	n/a
343.708	2	remov	1	1.009
348.175	2	rest	n/a	n/a
358.358	2	encod	1	0.948
362.625	2	rest	n/a	n/a
373.142	2	remov	1	1.235
377.542	2	rest	n/a	n/a
387.776	2	remov	1	0.854
391.476	2	rest	n/a	n/a
402.159	2	maint	1	0.827
405.926	2	rest	n/a	n/a
417.36	2	encod	1	0.835
421.71	2	rest	n/a	n/a
432.427	2	remov	0	0.835
436.093	2	rest	n/a	n/a
