onset	duration	trial_type	accuracy	response_time
7.9	2	remov	1	1.268
11.834	2	rest	n/a	n/a
21.784	2	maint	1	0.974
25.684	2	rest	n/a	n/a
36.467	2	remov	1	1.435
41.001	2	rest	n/a	n/a
51.534	2	maint	1	0.62
54.735	2	rest	n/a	n/a
64.951	2	encod	1	1.399
69.252	2	rest	n/a	n/a
79.852	2	remov	1	1.76
84.552	2	rest	n/a	n/a
94.386	2	maint	1	0.779
98.319	2	rest	n/a	n/a
108.669	2	encod	1	0.696
112.486	2	rest	n/a	n/a
123.203	2	remov	1	1.046
127.686	2	rest	n/a	n/a
138.37	2	maint	1	0.684
142.353	2	rest	n/a	n/a
153.17	2	encod	0	0
158.687	2	rest	n/a	n/a
169.437	2	remov	1	1.63
174.454	2	rest	n/a	n/a
185.754	2	remov	1	1.877
190.488	2	rest	n/a	n/a
200.871	2	remov	1	0.802
204.888	2	rest	n/a	n/a
214.655	2	encod	1	1.214
219.205	2	rest	n/a	n/a
229.855	2	maint	1	1.111
233.856	2	rest	n/a	n/a
244.889	2	encod	1	0.948
249.173	2	rest	n/a	n/a
260.073	2	remov	1	0.791
264.123	2	rest	n/a	n/a
274.623	2	remov	1	0.93
278.59	2	rest	n/a	n/a
289.49	2	encod	1	0.682
293.524	2	rest	n/a	n/a
303.957	2	remov	0	1.873
308.524	2	rest	n/a	n/a
319.374	2	encod	1	0.638
322.758	2	rest	n/a	n/a
333.408	2	maint	0	0
338.875	2	rest	n/a	n/a
349.092	2	maint	1	0.729
352.558	2	rest	n/a	n/a
363.375	2	encod	1	1.081
367.309	2	rest	n/a	n/a
378.109	2	maint	0	1.311
382.192	2	rest	n/a	n/a
392.326	2	encod	1	1.311
396.976	2	rest	n/a	n/a
407.576	2	maint	0	1.516
412.443	2	rest	n/a	n/a
423.21	2	remov	1	0.883
427.627	2	rest	n/a	n/a
437.711	2	remov	1	1.816
442.827	2	rest	n/a	n/a
