onset	duration	trial_type	accuracy	response_time
8.534	2	maint	1	0.879
12.801	2	rest	n/a	n/a
23.934	2	remov	1	0.924
28.301	2	rest	n/a	n/a
38.351	2	maint	1	0.919
42.618	2	rest	n/a	n/a
52.651	2	encod	1	1.004
57.168	2	rest	n/a	n/a
68.702	2	maint	1	0.661
72.802	2	rest	n/a	n/a
83.352	2	encod	1	0.969
87.386	2	rest	n/a	n/a
98.836	2	encod	1	1.629
103.553	2	rest	n/a	n/a
113.986	2	maint	1	1.155
117.903	2	rest	n/a	n/a
128.42	2	remov	1	0.722
131.903	2	rest	n/a	n/a
142.104	2	remov	1	1.175
146.237	2	rest	n/a	n/a
157.337	2	encod	1	1.624
162.238	2	rest	n/a	n/a
173.204	2	encod	1	0.888
177.488	2	rest	n/a	n/a
188.372	2	remov	1	0.742
191.988	2	rest	n/a	n/a
202.122	2	remov	1	1.04
205.822	2	rest	n/a	n/a
216.556	2	encod	1	0.889
220.039	2	rest	n/a	n/a
230.773	2	encod	1	0.82
234.889	2	rest	n/a	n/a
245.156	2	remov	0	0.733
249.173	2	rest	n/a	n/a
259.157	2	encod	1	0.855
262.623	2	rest	n/a	n/a
272.79	2	remov	1	1.039
276.59	2	rest	n/a	n/a
287.041	2	maint	1	1.087
291.241	2	rest	n/a	n/a
301.174	2	maint	1	0.718
304.691	2	rest	n/a	n/a
316.141	2	maint	1	0.852
319.875	2	rest	n/a	n/a
331.275	2	maint	0	0
336.125	2	rest	n/a	n/a
346.742	2	maint	1	0.598
349.942	2	rest	n/a	n/a
360.259	2	encod	1	0.673
364.326	2	rest	n/a	n/a
374.959	2	remov	1	0.596
378.576	2	rest	n/a	n/a
389.143	2	maint	1	0.504
392.96	2	rest	n/a	n/a
403.31	2	encod	0	1.103
407.194	2	rest	n/a	n/a
417.777	2	remov	1	0.892
421.261	2	rest	n/a	n/a
432.761	2	maint	1	0.873
436.278	2	rest	n/a	n/a
