onset	duration	trial_type	accuracy	response_time
8.833	2	maint	1	1.533
13.283	2	rest	n/a	n/a
23.1	2	encod	1	1.32
27.2	2	rest	n/a	n/a
37.317	2	maint	1	1.358
41.884	2	rest	n/a	n/a
53.251	2	maint	1	1.26
57.618	2	rest	n/a	n/a
68.985	2	encod	1	1.801
74.035	2	rest	n/a	n/a
84.952	2	remov	0	0
90.219	2	rest	n/a	n/a
100.852	2	encod	0	0
105.602	2	rest	n/a	n/a
116.036	2	maint	1	1.878
121.336	2	rest	n/a	n/a
132.02	2	remov	1	1.478
136.353	2	rest	n/a	n/a
146.57	2	maint	1	1.765
151.453	2	rest	n/a	n/a
162.554	2	maint	0	0
167.654	2	rest	n/a	n/a
178.388	2	maint	1	1.156
182.838	2	rest	n/a	n/a
193.788	2	remov	0	0.808
197.788	2	rest	n/a	n/a
208.872	2	maint	1	1.533
213.172	2	rest	n/a	n/a
223.639	2	encod	1	1.393
228.322	2	rest	n/a	n/a
239.089	2	encod	1	1.654
244.239	2	rest	n/a	n/a
254.756	2	maint	1	1.265
258.773	2	rest	n/a	n/a
269.257	2	encod	1	1.395
273.857	2	rest	n/a	n/a
283.89	2	maint	1	1.478
288.44	2	rest	n/a	n/a
298.457	2	remov	1	1.935
303.874	2	rest	n/a	n/a
314.024	2	remov	0	0
319.008	2	rest	n/a	n/a
329.441	2	remov	1	1.238
334.175	2	rest	n/a	n/a
344.392	2	maint	1	1.316
348.692	2	rest	n/a	n/a
359.759	2	remov	1	1.048
364.309	2	rest	n/a	n/a
375.493	2	maint	1	1.065
379.709	2	rest	n/a	n/a
390.376	2	remov	1	1.573
395.093	2	rest	n/a	n/a
405.377	2	encod	1	1.118
409.41	2	rest	n/a	n/a
420.11	2	encod	0	0
425.21	2	rest	n/a	n/a
436.194	2	encod	0	0
441.478	2	rest	n/a	n/a
451.394	2	maint	1	1.324
455.645	2	rest	n/a	n/a
