onset	duration	trial_type	accuracy	response_time
7.733	2	encod	0	0
12.867	2	rest	n/a	n/a
23.384	2	remov	0	0
28.017	2	rest	n/a	n/a
38.267	2	encod	0	0
43.617	2	rest	n/a	n/a
53.384	2	encod	0	0
58.818	2	rest	n/a	n/a
69.385	2	encod	0	0
74.635	2	rest	n/a	n/a
85.035	2	remov	0	1.794
89.802	2	rest	n/a	n/a
100.352	2	maint	1	1.584
105.052	2	rest	n/a	n/a
115.986	2	remov	0	1.167
120.236	2	rest	n/a	n/a
130.986	2	encod	0	0
136.086	2	rest	n/a	n/a
146.253	2	maint	1	1.376
150.587	2	rest	n/a	n/a
161.77	2	encod	0	0
166.487	2	rest	n/a	n/a
177.221	2	encod	0	1.431
181.237	2	rest	n/a	n/a
191.404	2	encod	1	1.444
195.921	2	rest	n/a	n/a
207.305	2	encod	0	1.504
211.671	2	rest	n/a	n/a
222.688	2	maint	0	1.702
226.972	2	rest	n/a	n/a
238.539	2	encod	0	1.528
242.889	2	rest	n/a	n/a
253.422	2	remov	0	1.006
257.789	2	rest	n/a	n/a
268.489	2	remov	0	1.161
272.673	2	rest	n/a	n/a
283.323	2	maint	0	0
288.39	2	rest	n/a	n/a
298.573	2	remov	0	1.688
303.207	2	rest	n/a	n/a
313.874	2	remov	0	0
319.241	2	rest	n/a	n/a
330.157	2	maint	1	1.342
334.708	2	rest	n/a	n/a
345.441	2	maint	0	1.694
349.915	2	rest	n/a	n/a
360.175	2	remov	1	1.168
364.458	2	rest	n/a	n/a
374.509	2	maint	1	1.421
378.759	2	rest	n/a	n/a
389.726	2	maint	0	0
394.842	2	rest	n/a	n/a
405.343	2	remov	0	1.627
410.026	2	rest	n/a	n/a
420.726	2	maint	0	0.968
425.21	2	rest	n/a	n/a
435.36	2	encod	1	1.791
440.043	2	rest	n/a	n/a
450.844	2	encod	1	0.785
454.994	2	rest	n/a	n/a
