onset	duration	trial_type	accuracy	response_time
8.25	2	remov	1	1.028
12.317	2	rest	n/a	n/a
23.534	2	encod	0	0
28.167	2	rest	n/a	n/a
38.734	2	remov	1	1.418
42.934	2	rest	n/a	n/a
54.118	2	maint	1	1.623
58.785	2	rest	n/a	n/a
69.568	2	maint	1	0.969
73.885	2	rest	n/a	n/a
85.002	2	remov	1	1.733
90.136	2	rest	n/a	n/a
100.319	2	remov	1	1.153
104.053	2	rest	n/a	n/a
115.086	2	maint	1	1.07
119.02	2	rest	n/a	n/a
129.37	2	maint	0	1.39
133.737	2	rest	n/a	n/a
144.654	2	maint	1	1.212
149.22	2	rest	n/a	n/a
159.804	2	remov	1	0.95
163.887	2	rest	n/a	n/a
175.188	2	encod	1	1.887
179.988	2	rest	n/a	n/a
190.655	2	encod	1	0.863
194.772	2	rest	n/a	n/a
204.855	2	encod	1	0.91
208.822	2	rest	n/a	n/a
219.305	2	maint	1	1.626
224.039	2	rest	n/a	n/a
235.239	2	remov	1	1.285
239.389	2	rest	n/a	n/a
250.506	2	encod	1	0.685
254.59	2	rest	n/a	n/a
265.14	2	encod	1	1.227
268.99	2	rest	n/a	n/a
279.724	2	encod	1	1.374
284.024	2	rest	n/a	n/a
294.941	2	maint	1	1.386
299.741	2	rest	n/a	n/a
309.774	2	maint	1	1.84
314.624	2	rest	n/a	n/a
324.641	2	remov	0	0
329.775	2	rest	n/a	n/a
340.442	2	remov	0	0
345.892	2	rest	n/a	n/a
356.342	2	remov	1	1.542
360.959	2	rest	n/a	n/a
371.809	2	maint	1	1.269
376.109	2	rest	n/a	n/a
386.393	2	remov	0	1.253
390.276	2	rest	n/a	n/a
400.91	2	encod	1	1.803
405.86	2	rest	n/a	n/a
416.26	2	encod	1	1.411
420.477	2	rest	n/a	n/a
431.161	2	maint	1	1.271
435.411	2	rest	n/a	n/a
446.028	2	remov	0	0
450.961	2	rest	n/a	n/a
