onset	duration	trial_type	accuracy	response_time
8.4	2	encod	0	0
13.417	2	rest	n/a	n/a
24.134	2	maint	0	0
29.201	2	rest	n/a	n/a
39.518	2	encod	0	0
44.685	2	rest	n/a	n/a
55.435	2	remov	0	0
60.168	2	rest	n/a	n/a
70.418	2	remov	0	0
75.519	2	rest	n/a	n/a
86.402	2	encod	0	0
91.552	2	rest	n/a	n/a
102.819	2	maint	0	0
107.536	2	rest	n/a	n/a
118.286	2	maint	0	0
123.136	2	rest	n/a	n/a
133.153	2	maint	0	0
138.27	2	rest	n/a	n/a
148.954	2	encod	0	0
153.787	2	rest	n/a	n/a
164.804	2	encod	0	0
170.254	2	rest	n/a	n/a
181.054	2	maint	1	1.789
186.188	2	rest	n/a	n/a
196.638	2	remov	0	0
202.072	2	rest	n/a	n/a
212.222	2	encod	0	0
217.539	2	rest	n/a	n/a
228.406	2	maint	0	0
233.922	2	rest	n/a	n/a
243.989	2	remov	0	0
249.156	2	rest	n/a	n/a
260.106	2	remov	1	1.511
264.823	2	rest	n/a	n/a
275.073	2	remov	0	0
279.873	2	rest	n/a	n/a
290.624	2	remov	0	1.741
295.474	2	rest	n/a	n/a
305.257	2	encod	0	0
309.974	2	rest	n/a	n/a
320.641	2	remov	0	0
326.075	2	rest	n/a	n/a
336.725	2	remov	1	1.864
341.292	2	rest	n/a	n/a
352.809	2	remov	0	0
357.942	2	rest	n/a	n/a
368.709	2	remov	1	1.386
372.942	2	rest	n/a	n/a
384.276	2	maint	0	0
389.476	2	rest	n/a	n/a
400.043	2	maint	0	1.442
404.593	2	rest	n/a	n/a
414.793	2	remov	0	0
420.06	2	rest	n/a	n/a
430.694	2	encod	0	0
435.794	2	rest	n/a	n/a
447.144	2	maint	1	1.088
451.444	2	rest	n/a	n/a
462.294	2	maint	0	0
467.811	2	rest	n/a	n/a
