onset	duration	trial_type	accuracy	response_time
8.75	2	encod	1	0.736
12.733	2	rest	n/a	n/a
23.417	2	encod	1	0.752
27.55	2	rest	n/a	n/a
38.184	2	encod	1	1.02
42.701	2	rest	n/a	n/a
53.284	2	encod	1	1.552
57.534	2	rest	n/a	n/a
67.985	2	remov	1	1.12
72.485	2	rest	n/a	n/a
83.735	2	maint	1	0.869
87.518	2	rest	n/a	n/a
97.752	2	encod	1	0.884
101.936	2	rest	n/a	n/a
112.036	2	encod	0	1.188
116.436	2	rest	n/a	n/a
126.669	2	remov	1	0.919
130.67	2	rest	n/a	n/a
140.97	2	remov	1	1.202
145.287	2	rest	n/a	n/a
156.054	2	maint	1	0.739
159.97	2	rest	n/a	n/a
170.637	2	encod	1	0.893
175.087	2	rest	n/a	n/a
185.338	2	maint	1	0.847
189.388	2	rest	n/a	n/a
200.121	2	encod	1	0.798
204.355	2	rest	n/a	n/a
214.438	2	encod	1	0.879
218.188	2	rest	n/a	n/a
229.055	2	encod	1	0.879
232.789	2	rest	n/a	n/a
243.506	2	encod	1	1.098
248.122	2	rest	n/a	n/a
259.023	2	encod	1	0.752
263.006	2	rest	n/a	n/a
273.023	2	remov	1	0.809
277.24	2	rest	n/a	n/a
288.173	2	remov	1	0.886
291.973	2	rest	n/a	n/a
302.874	2	encod	1	0.759
307.024	2	rest	n/a	n/a
317.824	2	maint	1	0.876
321.608	2	rest	n/a	n/a
331.974	2	maint	0	0
336.725	2	rest	n/a	n/a
347.325	2	encod	1	0.523
351.258	2	rest	n/a	n/a
362.242	2	maint	1	0.982
366.042	2	rest	n/a	n/a
377.009	2	remov	1	0.853
380.709	2	rest	n/a	n/a
391.576	2	maint	1	0.941
395.609	2	rest	n/a	n/a
405.826	2	maint	1	0.841
409.393	2	rest	n/a	n/a
419.76	2	maint	1	0.85
423.96	2	rest	n/a	n/a
434.827	2	remov	1	0.825
438.777	2	rest	n/a	n/a
