onset	duration	trial_type	accuracy	response_time
8.684	2	maint	1	1.546
13.117	2	rest	n/a	n/a
23.601	2	encod	1	1.502
28.384	2	rest	n/a	n/a
38.951	2	maint	1	1.469
43.568	2	rest	n/a	n/a
55.018	2	encod	1	1.642
59.618	2	rest	n/a	n/a
70.252	2	encod	1	0.861
73.952	2	rest	n/a	n/a
84.785	2	encod	1	1.429
89.119	2	rest	n/a	n/a
99.919	2	remov	1	1.098
104.453	2	rest	n/a	n/a
115.12	2	maint	1	1.438
119.27	2	rest	n/a	n/a
130.087	2	encod	1	1.347
134.653	2	rest	n/a	n/a
144.57	2	encod	1	1.068
148.937	2	rest	n/a	n/a
159.571	2	remov	0	0
164.921	2	rest	n/a	n/a
175.438	2	maint	1	1.711
180.271	2	rest	n/a	n/a
190.455	2	maint	0	1.406
194.788	2	rest	n/a	n/a
205.072	2	maint	1	1.108
209.339	2	rest	n/a	n/a
219.706	2	maint	1	1.035
223.889	2	rest	n/a	n/a
234.723	2	maint	1	1.336
238.856	2	rest	n/a	n/a
248.89	2	encod	1	1.347
253.79	2	rest	n/a	n/a
264.523	2	remov	1	1.918
269.057	2	rest	n/a	n/a
280.24	2	encod	0	1.316
284.707	2	rest	n/a	n/a
294.507	2	remov	1	1.353
299.008	2	rest	n/a	n/a
309.408	2	encod	0	1.381
313.925	2	rest	n/a	n/a
324.608	2	encod	0	0
329.742	2	rest	n/a	n/a
340.509	2	encod	1	1.293
345.225	2	rest	n/a	n/a
355.809	2	encod	1	1.183
359.859	2	rest	n/a	n/a
370.243	2	remov	0	1.377
374.193	2	rest	n/a	n/a
384.41	2	maint	0	1.381
389.293	2	rest	n/a	n/a
399.71	2	encod	0	0
404.994	2	rest	n/a	n/a
415.777	2	encod	1	1.216
420.211	2	rest	n/a	n/a
431.044	2	encod	1	1.331
435.644	2	rest	n/a	n/a
446.661	2	encod	1	1.184
450.978	2	rest	n/a	n/a
