onset	duration	trial_type	accuracy	response_time
9.033	2	encod	1	1.012
13.5	2	rest	n/a	n/a
24.934	2	encod	1	1.008
28.6	2	rest	n/a	n/a
39.567	2	encod	1	0.908
43.184	2	rest	n/a	n/a
54.068	2	remov	1	0.806
58.418	2	rest	n/a	n/a
68.835	2	remov	1	1.001
72.935	2	rest	n/a	n/a
84.352	2	maint	0	0.832
87.985	2	rest	n/a	n/a
98.402	2	remov	1	1.529
103.035	2	rest	n/a	n/a
113.936	2	maint	1	0.693
117.486	2	rest	n/a	n/a
128.686	2	remov	1	1.212
133.22	2	rest	n/a	n/a
143.703	2	remov	1	0.948
147.77	2	rest	n/a	n/a
157.603	2	remov	1	0.619
161.053	2	rest	n/a	n/a
172.487	2	encod	1	1.092
176.504	2	rest	n/a	n/a
186.971	2	encod	1	0.661
191.021	2	rest	n/a	n/a
201.738	2	maint	1	0.862
205.404	2	rest	n/a	n/a
216.155	2	encod	1	0.883
219.871	2	rest	n/a	n/a
229.972	2	remov	1	1.769
235.205	2	rest	n/a	n/a
246.039	2	remov	0	1.034
250.239	2	rest	n/a	n/a
260.356	2	maint	1	0.831
264.106	2	rest	n/a	n/a
274.656	2	remov	1	0.85
278.439	2	rest	n/a	n/a
289.44	2	maint	1	0.879
293.34	2	rest	n/a	n/a
304.473	2	remov	1	0.845
308.557	2	rest	n/a	n/a
319.324	2	encod	1	1.224
324.04	2	rest	n/a	n/a
334.624	2	remov	1	0.836
338.941	2	rest	n/a	n/a
350.524	2	remov	1	1.051
354.974	2	rest	n/a	n/a
366.125	2	maint	0	0
370.892	2	rest	n/a	n/a
381.525	2	encod	1	0.685
385.342	2	rest	n/a	n/a
395.709	2	remov	1	1.574
400.792	2	rest	n/a	n/a
411.659	2	maint	1	0.891
415.376	2	rest	n/a	n/a
425.993	2	remov	1	1.133
430.56	2	rest	n/a	n/a
441.876	2	maint	1	0.709
445.343	2	rest	n/a	n/a
