onset	duration	trial_type	accuracy	response_time
8.151	2	remov	1	0.743
11.701	2	rest	n/a	n/a
22.401	2	encod	0	0.858
26.518	2	rest	n/a	n/a
37.085	2	maint	1	0.737
40.401	2	rest	n/a	n/a
51.668	2	remov	0	1.178
55.818	2	rest	n/a	n/a
66.735	2	remov	0	1.259
70.685	2	rest	n/a	n/a
81.802	2	maint	0	0.69
85.502	2	rest	n/a	n/a
95.269	2	maint	1	0.777
98.636	2	rest	n/a	n/a
110.07	2	maint	1	1.012
113.786	2	rest	n/a	n/a
123.953	2	maint	0	1.029
127.97	2	rest	n/a	n/a
138.804	2	encod	0	0.853
142.354	2	rest	n/a	n/a
152.254	2	remov	1	1.687
156.754	2	rest	n/a	n/a
166.604	2	maint	0	0
171.738	2	rest	n/a	n/a
182.221	2	maint	1	0.59
185.438	2	rest	n/a	n/a
196.438	2	remov	0	0.575
200.388	2	rest	n/a	n/a
211.072	2	encod	1	0.944
215.139	2	rest	n/a	n/a
225.322	2	maint	1	0.939
228.822	2	rest	n/a	n/a
239.356	2	remov	0	0.954
243.073	2	rest	n/a	n/a
253.473	2	maint	1	0.827
257.523	2	rest	n/a	n/a
268.09	2	maint	0	0.702
272.107	2	rest	n/a	n/a
282.79	2	remov	0	0.969
286.491	2	rest	n/a	n/a
297.524	2	encod	0	0.579
301.224	2	rest	n/a	n/a
312.158	2	remov	1	0.823
316.358	2	rest	n/a	n/a
326.975	2	encod	1	1.421
331.792	2	rest	n/a	n/a
342.775	2	remov	1	1.461
347.042	2	rest	n/a	n/a
357.492	2	maint	0	0
362.609	2	rest	n/a	n/a
372.626	2	maint	0	0.792
376.693	2	rest	n/a	n/a
387.476	2	remov	0	0.633
390.876	2	rest	n/a	n/a
401.977	2	maint	1	0.802
405.627	2	rest	n/a	n/a
416.31	2	maint	0	0.912
420.177	2	rest	n/a	n/a
430.977	2	encod	0	0.754
434.344	2	rest	n/a	n/a
