onset	duration	trial_type	accuracy	response_time
8.767	2	encod	1	1.395
13.567	2	rest	n/a	n/a
23.701	2	maint	1	1.089
27.501	2	rest	n/a	n/a
38.234	2	encod	1	1.249
42.451	2	rest	n/a	n/a
53.651	2	remov	1	1.363
58.518	2	rest	n/a	n/a
69.002	2	maint	1	0.992
72.819	2	rest	n/a	n/a
83.535	2	encod	1	1.15
87.602	2	rest	n/a	n/a
98.586	2	encod	1	1.097
102.669	2	rest	n/a	n/a
112.953	2	remov	1	1.257
117.22	2	rest	n/a	n/a
128.237	2	maint	1	0.986
132.303	2	rest	n/a	n/a
142.954	2	maint	1	1.012
147.087	2	rest	n/a	n/a
157.754	2	maint	1	1.309
161.754	2	rest	n/a	n/a
172.454	2	maint	1	0.925
176.788	2	rest	n/a	n/a
186.938	2	maint	1	0.949
191.388	2	rest	n/a	n/a
202.339	2	maint	1	1.182
206.589	2	rest	n/a	n/a
217.789	2	maint	1	0.892
221.756	2	rest	n/a	n/a
232.189	2	remov	1	1.435
236.889	2	rest	n/a	n/a
247.773	2	remov	1	1.262
252.256	2	rest	n/a	n/a
262.69	2	remov	0	1.277
267.49	2	rest	n/a	n/a
278.64	2	remov	0	1.855
283.591	2	rest	n/a	n/a
294.208	2	maint	1	0.916
297.708	2	rest	n/a	n/a
308.825	2	remov	0	1.063
313.391	2	rest	n/a	n/a
323.758	2	encod	0	1.763
328.575	2	rest	n/a	n/a
339.109	2	maint	1	1.105
343.559	2	rest	n/a	n/a
353.909	2	maint	1	1.029
357.976	2	rest	n/a	n/a
368.259	2	maint	1	1.281
372.51	2	rest	n/a	n/a
383.31	2	maint	1	0.903
386.96	2	rest	n/a	n/a
397.294	2	maint	1	1.352
402.177	2	rest	n/a	n/a
413.027	2	remov	0	0
417.927	2	rest	n/a	n/a
428.061	2	encod	1	1.238
432.311	2	rest	n/a	n/a
442.661	2	remov	1	1.079
446.328	2	rest	n/a	n/a
