onset	duration	trial_type	accuracy	response_time
7.983	2	remov	1	0.981
12.183	2	rest	n/a	n/a
23.134	2	remov	1	1.099
27.784	2	rest	n/a	n/a
38.251	2	remov	1	0.974
42.134	2	rest	n/a	n/a
52.151	2	remov	0	1.228
56.235	2	rest	n/a	n/a
66.618	2	remov	1	1.092
70.901	2	rest	n/a	n/a
81.468	2	encod	1	0.967
85.685	2	rest	n/a	n/a
96.819	2	remov	1	1.68
101.569	2	rest	n/a	n/a
111.536	2	remov	1	1.117
116.069	2	rest	n/a	n/a
126.569	2	remov	1	1.271
131.153	2	rest	n/a	n/a
141.686	2	encod	0	1.228
145.587	2	rest	n/a	n/a
156.57	2	encod	1	1.033
160.654	2	rest	n/a	n/a
171.37	2	maint	1	0.953
175.554	2	rest	n/a	n/a
185.671	2	encod	1	1.842
190.621	2	rest	n/a	n/a
201.921	2	remov	1	0.881
206.288	2	rest	n/a	n/a
217.621	2	maint	1	0.7
221.805	2	rest	n/a	n/a
231.805	2	maint	1	0.837
235.522	2	rest	n/a	n/a
246.272	2	maint	1	1.037
250.306	2	rest	n/a	n/a
260.956	2	maint	1	0.923
265.023	2	rest	n/a	n/a
275.673	2	encod	1	1.212
279.506	2	rest	n/a	n/a
289.256	2	remov	1	1.088
293.057	2	rest	n/a	n/a
303.79	2	maint	1	0.978
307.907	2	rest	n/a	n/a
318.257	2	maint	1	0.968
322.524	2	rest	n/a	n/a
333.224	2	encod	1	0.862
337.458	2	rest	n/a	n/a
348.074	2	maint	1	1.005
352.425	2	rest	n/a	n/a
363.141	2	remov	1	1.018
367.708	2	rest	n/a	n/a
377.975	2	maint	1	1.214
382.392	2	rest	n/a	n/a
393.092	2	maint	1	0.886
396.659	2	rest	n/a	n/a
407.242	2	encod	0	1.609
411.693	2	rest	n/a	n/a
422.409	2	maint	1	1.043
426.876	2	rest	n/a	n/a
438.01	2	remov	0	1.235
441.843	2	rest	n/a	n/a
