onset	duration	trial_type	accuracy	response_time
9.051	2	encod	1	1.973
14.367	2	rest	n/a	n/a
25.484	2	encod	0	0
30.734	2	rest	n/a	n/a
41.818	2	maint	1	1.41
46.468	2	rest	n/a	n/a
56.835	2	maint	1	0.866
60.302	2	rest	n/a	n/a
71.785	2	maint	1	1.528
76.602	2	rest	n/a	n/a
87.186	2	encod	0	0
92.136	2	rest	n/a	n/a
103.086	2	encod	1	1.498
108.103	2	rest	n/a	n/a
119.103	2	maint	1	1.386
123.387	2	rest	n/a	n/a
133.22	2	maint	1	0.996
136.954	2	rest	n/a	n/a
147.854	2	maint	0	1.403
152.371	2	rest	n/a	n/a
162.954	2	remov	0	0
168.071	2	rest	n/a	n/a
178.588	2	encod	1	1.255
183.288	2	rest	n/a	n/a
192.938	2	remov	0	0
198.288	2	rest	n/a	n/a
208.605	2	maint	0	0
213.189	2	rest	n/a	n/a
223.572	2	remov	0	0
228.822	2	rest	n/a	n/a
239.673	2	remov	0	0
244.656	2	rest	n/a	n/a
255.373	2	encod	1	1.437
259.873	2	rest	n/a	n/a
271.157	2	remov	0	0
276.207	2	rest	n/a	n/a
286.99	2	remov	1	1.444
291.69	2	rest	n/a	n/a
302.574	2	remov	0	0
308.041	2	rest	n/a	n/a
318.508	2	remov	0	0
323.941	2	rest	n/a	n/a
334.692	2	remov	0	0
339.842	2	rest	n/a	n/a
350.575	2	remov	0	0
355.159	2	rest	n/a	n/a
365.792	2	remov	0	0
370.676	2	rest	n/a	n/a
381.626	2	maint	0	0
386.559	2	rest	n/a	n/a
397.343	2	remov	0	0
401.943	2	rest	n/a	n/a
412.027	2	remov	0	0
417.443	2	rest	n/a	n/a
428.027	2	encod	0	0
433.327	2	rest	n/a	n/a
443.961	2	maint	0	0
448.711	2	rest	n/a	n/a
460.194	2	maint	0	1.538
464.928	2	rest	n/a	n/a
