onset	duration	trial_type	accuracy	response_time
8.383	2	remov	1	0.739
11.833	2	rest	n/a	n/a
22.5	2	maint	1	0.675
26.384	2	rest	n/a	n/a
36.751	2	maint	1	1.079
41.068	2	rest	n/a	n/a
52.018	2	remov	1	1.503
56.885	2	rest	n/a	n/a
66.985	2	encod	0	0
72.502	2	rest	n/a	n/a
83.002	2	maint	1	1.597
87.619	2	rest	n/a	n/a
98.936	2	maint	1	0.814
102.386	2	rest	n/a	n/a
112.736	2	maint	1	0.893
116.903	2	rest	n/a	n/a
127.653	2	remov	1	0.786
131.653	2	rest	n/a	n/a
142.303	2	maint	1	0.747
145.787	2	rest	n/a	n/a
155.554	2	encod	1	1.248
159.554	2	rest	n/a	n/a
170.671	2	remov	0	0.897
174.371	2	rest	n/a	n/a
185.171	2	remov	0	1.264
189.338	2	rest	n/a	n/a
200.188	2	maint	1	1.184
204.055	2	rest	n/a	n/a
214.555	2	encod	1	1.026
218.438	2	rest	n/a	n/a
228.855	2	remov	0	0.531
232.506	2	rest	n/a	n/a
243.256	2	encod	1	0.948
246.889	2	rest	n/a	n/a
257.889	2	maint	1	1.028
261.973	2	rest	n/a	n/a
273.123	2	encod	0	0
278.423	2	rest	n/a	n/a
288.507	2	encod	1	1.274
292.64	2	rest	n/a	n/a
303.491	2	remov	1	0.489
307.457	2	rest	n/a	n/a
317.891	2	maint	1	0.952
322.141	2	rest	n/a	n/a
333.008	2	encod	1	0.802
336.541	2	rest	n/a	n/a
347.342	2	encod	1	1.45
352.175	2	rest	n/a	n/a
362.425	2	remov	1	0.526
365.759	2	rest	n/a	n/a
377.026	2	encod	0	0
381.959	2	rest	n/a	n/a
392.593	2	remov	0	0.535
395.709	2	rest	n/a	n/a
406.51	2	remov	0	0.79
410.376	2	rest	n/a	n/a
420.627	2	maint	1	1.56
424.91	2	rest	n/a	n/a
435.51	2	encod	1	1.08
439.21	2	rest	n/a	n/a
