onset	duration	trial_type	accuracy	response_time
8.584	2	encod	1	0.447
11.684	2	rest	n/a	n/a
22.434	2	maint	1	0.416
25.634	2	rest	n/a	n/a
36.401	2	encod	0	0.421
39.901	2	rest	n/a	n/a
50.135	2	maint	1	0.662
54.302	2	rest	n/a	n/a
65.402	2	encod	0	0.499
69.202	2	rest	n/a	n/a
79.602	2	remov	0	0.748
83.619	2	rest	n/a	n/a
94.069	2	remov	0	0.671
97.486	2	rest	n/a	n/a
108.053	2	remov	1	0.539
111.22	2	rest	n/a	n/a
122.437	2	remov	0	0.467
126.137	2	rest	n/a	n/a
137.337	2	encod	1	0.703
140.671	2	rest	n/a	n/a
151.171	2	encod	1	0.37
155.054	2	rest	n/a	n/a
165.771	2	maint	1	1.591
170.155	2	rest	n/a	n/a
180.255	2	maint	0	0.382
184.155	2	rest	n/a	n/a
194.022	2	maint	1	0.715
197.355	2	rest	n/a	n/a
207.506	2	encod	1	0.422
211.156	2	rest	n/a	n/a
222.589	2	encod	0	0.339
226.356	2	rest	n/a	n/a
237.34	2	maint	1	0.641
241.506	2	rest	n/a	n/a
251.74	2	encod	0	0.413
254.973	2	rest	n/a	n/a
265.44	2	remov	0	0.452
268.84	2	rest	n/a	n/a
279.657	2	remov	1	0.5
282.874	2	rest	n/a	n/a
294.308	2	remov	0	0.488
298.124	2	rest	n/a	n/a
308.375	2	maint	0	0.583
311.841	2	rest	n/a	n/a
321.825	2	maint	1	0.391
325.292	2	rest	n/a	n/a
335.409	2	maint	0	0.477
339.009	2	rest	n/a	n/a
348.926	2	remov	1	0.517
352.426	2	rest	n/a	n/a
362.476	2	encod	1	0.397
365.909	2	rest	n/a	n/a
376.01	2	encod	1	0.313
379.71	2	rest	n/a	n/a
390.777	2	remov	0	0.51
393.993	2	rest	n/a	n/a
404.41	2	encod	1	0.325
407.81	2	rest	n/a	n/a
418.044	2	encod	0	0.444
421.144	2	rest	n/a	n/a
