onset	duration	trial_type	accuracy	response_time
8.217	2	remov	1	1.541
13	2	rest	n/a	n/a
23.3	2	remov	1	1.167
27.967	2	rest	n/a	n/a
38.701	2	maint	1	1.238
43.217	2	rest	n/a	n/a
54.134	2	maint	1	1.01
58.301	2	rest	n/a	n/a
68.768	2	encod	0	0
73.885	2	rest	n/a	n/a
84.418	2	maint	1	1.029
88.835	2	rest	n/a	n/a
99.769	2	remov	1	1.403
103.835	2	rest	n/a	n/a
114.452	2	maint	1	0.955
118.569	2	rest	n/a	n/a
128.519	2	maint	1	1.107
132.52	2	rest	n/a	n/a
142.836	2	remov	1	0.914
146.553	2	rest	n/a	n/a
157.337	2	maint	1	0.828
160.804	2	rest	n/a	n/a
171.07	2	remov	1	1.326
175.037	2	rest	n/a	n/a
185.388	2	remov	1	1.036
189.388	2	rest	n/a	n/a
199.905	2	maint	0	1.523
204.705	2	rest	n/a	n/a
215.172	2	remov	1	1.089
219.088	2	rest	n/a	n/a
229.855	2	remov	0	1.114
233.705	2	rest	n/a	n/a
244.456	2	maint	1	1.18
248.906	2	rest	n/a	n/a
259.273	2	maint	1	1.062
263.123	2	rest	n/a	n/a
274.223	2	encod	1	1.143
278.573	2	rest	n/a	n/a
288.673	2	remov	1	0.992
292.407	2	rest	n/a	n/a
303.274	2	encod	0	0
308.024	2	rest	n/a	n/a
318.074	2	remov	1	1.094
322.741	2	rest	n/a	n/a
332.941	2	encod	1	1.035
336.741	2	rest	n/a	n/a
347.558	2	remov	0	1.186
352.108	2	rest	n/a	n/a
362.225	2	encod	0	0.942
366.742	2	rest	n/a	n/a
377.075	2	maint	1	1.085
381.509	2	rest	n/a	n/a
392.392	2	remov	1	0.9
396.743	2	rest	n/a	n/a
407.06	2	remov	1	1.584
411.91	2	rest	n/a	n/a
422.577	2	encod	1	1.15
427.127	2	rest	n/a	n/a
437.91	2	maint	1	1.007
442.144	2	rest	n/a	n/a
