onset	duration	trial_type	accuracy	response_time
8.883	2	encod	1	0.273
12	2	rest	n/a	n/a
22.334	2	remov	1	1.454
26.65	2	rest	n/a	n/a
37.351	2	remov	0	0
42.251	2	rest	n/a	n/a
52.534	2	remov	0	0
57.968	2	rest	n/a	n/a
68.718	2	remov	0	0
73.318	2	rest	n/a	n/a
83.685	2	encod	0	0
88.969	2	rest	n/a	n/a
98.786	2	encod	1	1.254
103.002	2	rest	n/a	n/a
113.086	2	maint	0	0
117.886	2	rest	n/a	n/a
127.986	2	remov	1	1.765
132.52	2	rest	n/a	n/a
142.487	2	maint	1	1.528
147.22	2	rest	n/a	n/a
158.12	2	maint	0	0
163.604	2	rest	n/a	n/a
174.371	2	maint	1	1.461
179.404	2	rest	n/a	n/a
190.521	2	maint	1	1.387
194.955	2	rest	n/a	n/a
205.621	2	remov	1	1.922
210.905	2	rest	n/a	n/a
221.339	2	remov	0	1.309
225.822	2	rest	n/a	n/a
236.539	2	maint	1	1.016
240.839	2	rest	n/a	n/a
251.789	2	encod	0	0
256.473	2	rest	n/a	n/a
266.773	2	remov	1	1.842
271.173	2	rest	n/a	n/a
281.523	2	maint	1	1.285
285.723	2	rest	n/a	n/a
295.94	2	encod	0	1.497
300.44	2	rest	n/a	n/a
311.057	2	remov	1	1.502
315.508	2	rest	n/a	n/a
325.658	2	encod	1	1.338
330.041	2	rest	n/a	n/a
340.758	2	remov	0	1.438
345.442	2	rest	n/a	n/a
356.809	2	encod	1	1.561
361.675	2	rest	n/a	n/a
372.259	2	remov	1	1.355
376.392	2	rest	n/a	n/a
387.376	2	maint	1	1.358
392.109	2	rest	n/a	n/a
402.36	2	remov	0	1.516
406.926	2	rest	n/a	n/a
417.127	2	encod	0	1.417
421.293	2	rest	n/a	n/a
431.877	2	encod	0	0
437.294	2	rest	n/a	n/a
448.244	2	encod	1	1.054
452.377	2	rest	n/a	n/a
