onset	duration	trial_type	accuracy	response_time
7.884	2	maint	1	0.837
12.167	2	rest	n/a	n/a
23.018	2	maint	1	0.634
26.834	2	rest	n/a	n/a
37.118	2	remov	0	1.137
41.168	2	rest	n/a	n/a
51.768	2	remov	1	1.598
56.485	2	rest	n/a	n/a
67.635	2	encod	1	0.961
71.985	2	rest	n/a	n/a
82.236	2	maint	1	1.387
86.936	2	rest	n/a	n/a
97.203	2	remov	0	0.911
100.953	2	rest	n/a	n/a
111.486	2	maint	1	1.606
115.67	2	rest	n/a	n/a
126.437	2	remov	0	0.863
130.103	2	rest	n/a	n/a
140.254	2	maint	1	1.095
144.72	2	rest	n/a	n/a
155.987	2	maint	1	1.412
160.304	2	rest	n/a	n/a
170.921	2	remov	0	0.962
174.704	2	rest	n/a	n/a
185.588	2	encod	1	0.864
189.838	2	rest	n/a	n/a
200.888	2	encod	1	1.488
205.838	2	rest	n/a	n/a
216.805	2	encod	1	0.888
220.822	2	rest	n/a	n/a
231.889	2	maint	1	1.73
236.223	2	rest	n/a	n/a
247.073	2	maint	1	1.018
251.29	2	rest	n/a	n/a
262.04	2	maint	1	0.858
265.54	2	rest	n/a	n/a
275.773	2	encod	1	0.896
279.607	2	rest	n/a	n/a
290.257	2	maint	1	0.843
293.874	2	rest	n/a	n/a
304.774	2	maint	1	1.322
309.158	2	rest	n/a	n/a
320.074	2	encod	1	0.825
323.691	2	rest	n/a	n/a
334.341	2	remov	0	0.69
337.925	2	rest	n/a	n/a
348.658	2	remov	0	0.645
352.609	2	rest	n/a	n/a
363.092	2	encod	1	1.078
367.192	2	rest	n/a	n/a
377.509	2	remov	1	0.586
380.793	2	rest	n/a	n/a
390.726	2	remov	1	0.675
394.659	2	rest	n/a	n/a
405.16	2	remov	1	0.663
408.527	2	rest	n/a	n/a
418.61	2	maint	1	1.313
422.944	2	rest	n/a	n/a
433.694	2	encod	1	1.21
437.611	2	rest	n/a	n/a
