onset	duration	trial_type	accuracy	response_time
7.783	2	encod	0	0
13.333	2	rest	n/a	n/a
23.784	2	encod	1	1.051
27.45	2	rest	n/a	n/a
38.567	2	maint	1	0.957
43.101	2	rest	n/a	n/a
53.268	2	maint	1	0.98
57.151	2	rest	n/a	n/a
67.801	2	remov	1	1.365
72.285	2	rest	n/a	n/a
83.068	2	maint	1	1.141
87.068	2	rest	n/a	n/a
98.102	2	maint	1	1.767
102.819	2	rest	n/a	n/a
113.136	2	maint	1	0.898
117.069	2	rest	n/a	n/a
128.019	2	remov	1	1.139
131.886	2	rest	n/a	n/a
142.72	2	encod	0	1.594
147.553	2	rest	n/a	n/a
157.52	2	maint	1	1.292
162.187	2	rest	n/a	n/a
172.754	2	encod	1	1.467
177.771	2	rest	n/a	n/a
188.404	2	maint	1	1.154
192.488	2	rest	n/a	n/a
202.538	2	remov	1	0.985
206.721	2	rest	n/a	n/a
216.588	2	encod	0	0
221.722	2	rest	n/a	n/a
232.739	2	remov	1	0.975
236.572	2	rest	n/a	n/a
246.956	2	remov	0	1.452
251.289	2	rest	n/a	n/a
261.873	2	remov	1	1.165
266.189	2	rest	n/a	n/a
276.173	2	remov	1	0.954
279.84	2	rest	n/a	n/a
290.557	2	encod	0	0
295.74	2	rest	n/a	n/a
306.34	2	encod	0	0
311.774	2	rest	n/a	n/a
322.374	2	maint	1	1.128
326.624	2	rest	n/a	n/a
337.558	2	maint	1	0.937
341.391	2	rest	n/a	n/a
352.125	2	encod	1	1.113
356.175	2	rest	n/a	n/a
367.192	2	encod	1	1.147
371.359	2	rest	n/a	n/a
382.242	2	maint	1	1.17
386.376	2	rest	n/a	n/a
397.509	2	maint	1	1.331
402.309	2	rest	n/a	n/a
412.393	2	maint	1	1.726
417.61	2	rest	n/a	n/a
428.793	2	remov	1	1.055
433.127	2	rest	n/a	n/a
444.194	2	remov	1	1.112
448.144	2	rest	n/a	n/a
