onset	duration	trial_type	accuracy	response_time
8.834	2	encod	0	0
14.334	2	rest	n/a	n/a
24.034	2	remov	0	0
28.984	2	rest	n/a	n/a
39.351	2	encod	0	0
44.385	2	rest	n/a	n/a
55.435	2	remov	0	0
60.035	2	rest	n/a	n/a
70.619	2	encod	0	0
75.302	2	rest	n/a	n/a
86.502	2	maint	1	1.654
90.786	2	rest	n/a	n/a
101.119	2	maint	0	1.919
105.619	2	rest	n/a	n/a
116.286	2	remov	0	0
121.32	2	rest	n/a	n/a
131.82	2	maint	1	1.104
135.753	2	rest	n/a	n/a
145.904	2	remov	1	1.616
150.471	2	rest	n/a	n/a
161.054	2	remov	0	0
166.588	2	rest	n/a	n/a
177.621	2	remov	0	0
183.055	2	rest	n/a	n/a
193.655	2	remov	0	0
198.472	2	rest	n/a	n/a
209.339	2	maint	1	1.836
214.739	2	rest	n/a	n/a
225.056	2	remov	0	0
229.773	2	rest	n/a	n/a
239.656	2	remov	1	1.915
244.423	2	rest	n/a	n/a
255.34	2	maint	1	1.859
260.74	2	rest	n/a	n/a
271.44	2	encod	0	0
276.907	2	rest	n/a	n/a
287.274	2	maint	0	0
292.807	2	rest	n/a	n/a
303.591	2	maint	1	1.473
308.391	2	rest	n/a	n/a
319.458	2	maint	0	1.692
324.142	2	rest	n/a	n/a
334.725	2	remov	1	1.427
339.092	2	rest	n/a	n/a
349.592	2	maint	1	1.201
353.492	2	rest	n/a	n/a
364.076	2	encod	1	1.56
368.476	2	rest	n/a	n/a
379.926	2	encod	1	1.894
385.026	2	rest	n/a	n/a
395.627	2	remov	0	1.667
400.677	2	rest	n/a	n/a
410.644	2	remov	0	0
416.027	2	rest	n/a	n/a
426.327	2	maint	0	0
431.511	2	rest	n/a	n/a
441.678	2	remov	0	0
446.361	2	rest	n/a	n/a
457.045	2	encod	1	1.11
461.012	2	rest	n/a	n/a
