onset	duration	trial_type	accuracy	response_time
8.434	2	maint	1	0.787
12.45	2	rest	n/a	n/a
22.917	2	encod	1	0.89
26.967	2	rest	n/a	n/a
38.068	2	encod	1	0.811
42.068	2	rest	n/a	n/a
53.335	2	remov	1	1.178
57.868	2	rest	n/a	n/a
68.685	2	maint	1	0.835
72.868	2	rest	n/a	n/a
83.852	2	remov	1	1.202
87.869	2	rest	n/a	n/a
98.936	2	encod	1	1.455
103.169	2	rest	n/a	n/a
113.103	2	remov	1	0.991
116.686	2	rest	n/a	n/a
126.887	2	maint	1	1.449
131.303	2	rest	n/a	n/a
142.137	2	remov	1	1.037
146.37	2	rest	n/a	n/a
156.887	2	encod	1	1.728
161.187	2	rest	n/a	n/a
172.304	2	remov	1	1.589
176.904	2	rest	n/a	n/a
187.838	2	remov	1	1.267
192.638	2	rest	n/a	n/a
202.655	2	maint	1	1.138
207.322	2	rest	n/a	n/a
217.555	2	remov	0	0
222.972	2	rest	n/a	n/a
233.739	2	encod	1	0.962
238.139	2	rest	n/a	n/a
248.84	2	remov	1	1.001
252.59	2	rest	n/a	n/a
263.357	2	maint	1	1.058
267.823	2	rest	n/a	n/a
278.724	2	maint	0	0
284.224	2	rest	n/a	n/a
294.957	2	maint	1	1.008
298.791	2	rest	n/a	n/a
309.191	2	maint	1	1.084
312.958	2	rest	n/a	n/a
322.941	2	maint	1	1.073
326.608	2	rest	n/a	n/a
337.292	2	maint	1	0.907
340.975	2	rest	n/a	n/a
352.042	2	encod	0	1.101
356.509	2	rest	n/a	n/a
366.826	2	remov	1	1.432
371.176	2	rest	n/a	n/a
382.126	2	encod	1	1.021
386.026	2	rest	n/a	n/a
396.11	2	encod	1	0.994
400.26	2	rest	n/a	n/a
410.244	2	remov	1	1.162
414.227	2	rest	n/a	n/a
425.144	2	maint	1	1.019
429.644	2	rest	n/a	n/a
439.794	2	encod	1	0.858
443.911	2	rest	n/a	n/a
