onset	duration	trial_type	accuracy	response_time
8.034	2	remov	0	0
13.15	2	rest	n/a	n/a
23.934	2	maint	0	1.224
28.034	2	rest	n/a	n/a
38.668	2	encod	0	0.634
42.384	2	rest	n/a	n/a
52.318	2	encod	0	1.255
56.685	2	rest	n/a	n/a
67.352	2	encod	0	0
72.702	2	rest	n/a	n/a
83.485	2	encod	1	1.088
87.452	2	rest	n/a	n/a
98.119	2	maint	1	1.192
101.969	2	rest	n/a	n/a
112.653	2	remov	1	0.922
117.036	2	rest	n/a	n/a
127.853	2	encod	0	1.911
132.687	2	rest	n/a	n/a
143.004	2	maint	0	1.641
147.77	2	rest	n/a	n/a
158.687	2	maint	1	0.606
161.987	2	rest	n/a	n/a
172.388	2	remov	1	1.34
176.554	2	rest	n/a	n/a
186.938	2	encod	0	1.125
191.121	2	rest	n/a	n/a
201.105	2	remov	0	1.142
205.105	2	rest	n/a	n/a
215.722	2	remov	0	0.848
219.389	2	rest	n/a	n/a
230.339	2	encod	1	0.605
233.956	2	rest	n/a	n/a
244.939	2	maint	0	0.739
248.74	2	rest	n/a	n/a
259.473	2	maint	1	0.675
263.09	2	rest	n/a	n/a
273.974	2	remov	0	1.179
278.374	2	rest	n/a	n/a
289.057	2	remov	1	0.674
292.874	2	rest	n/a	n/a
303.524	2	maint	0	0.879
307.758	2	rest	n/a	n/a
318.658	2	maint	1	0.78
322.325	2	rest	n/a	n/a
333.225	2	maint	0	0.686
337.358	2	rest	n/a	n/a
347.509	2	encod	1	1.979
352.142	2	rest	n/a	n/a
363.042	2	maint	0	1.609
367.409	2	rest	n/a	n/a
378.66	2	encod	1	0.585
381.96	2	rest	n/a	n/a
392.36	2	maint	1	0.807
395.843	2	rest	n/a	n/a
406.36	2	remov	1	1.007
410.827	2	rest	n/a	n/a
421.027	2	encod	0	1.148
425.261	2	rest	n/a	n/a
436.128	2	encod	1	0.877
439.761	2	rest	n/a	n/a
