onset	duration	trial_type	accuracy	response_time
8.1	2	encod	0	0.103
11.667	2	rest	n/a	n/a
22.417	2	maint	0	0
27.367	2	rest	n/a	n/a
37.284	2	remov	1	1.894
42.651	2	rest	n/a	n/a
52.801	2	remov	1	1.468
57.668	2	rest	n/a	n/a
68.285	2	remov	1	0.449
71.335	2	rest	n/a	n/a
82.101	2	encod	0	0
87.135	2	rest	n/a	n/a
97.869	2	maint	0	0.781
101.752	2	rest	n/a	n/a
113.236	2	remov	1	1.827
118.619	2	rest	n/a	n/a
128.469	2	encod	1	1.558
132.686	2	rest	n/a	n/a
143.336	2	maint	0	1.746
148.153	2	rest	n/a	n/a
158.487	2	remov	0	0
163.303	2	rest	n/a	n/a
173.287	2	remov	1	0.067
176.037	2	rest	n/a	n/a
186.871	2	encod	0	1.619
191.987	2	rest	n/a	n/a
202.621	2	remov	0	1.736
207.154	2	rest	n/a	n/a
218.271	2	encod	0	1.065
222.855	2	rest	n/a	n/a
233.422	2	maint	1	1.994
238.738	2	rest	n/a	n/a
249.605	2	maint	0	0
254.572	2	rest	n/a	n/a
265.189	2	encod	0	0.931
269.456	2	rest	n/a	n/a
280.639	2	remov	0	1.752
285.923	2	rest	n/a	n/a
296.49	2	encod	0	1.317
301.373	2	rest	n/a	n/a
311.857	2	encod	0	0.406
315.807	2	rest	n/a	n/a
326.674	2	maint	0	0
332.091	2	rest	n/a	n/a
342.508	2	maint	1	1.519
347.091	2	rest	n/a	n/a
357.508	2	maint	0	0
362.391	2	rest	n/a	n/a
372.675	2	encod	1	1.299
377.158	2	rest	n/a	n/a
387.592	2	remov	0	1.911
392.259	2	rest	n/a	n/a
402.809	2	encod	0	1.36
406.876	2	rest	n/a	n/a
416.743	2	encod	0	0
422.226	2	rest	n/a	n/a
432.843	2	encod	0	1.455
437.176	2	rest	n/a	n/a
447.777	2	maint	0	0
453.027	2	rest	n/a	n/a
