onset	duration	trial_type	accuracy	response_time
9.35	2	maint	0	1.608
14	2	rest	n/a	n/a
24.801	2	encod	1	1.303
28.901	2	rest	n/a	n/a
39.618	2	maint	0	0
44.651	2	rest	n/a	n/a
55.068	2	encod	1	1.249
59.368	2	rest	n/a	n/a
69.385	2	remov	1	1.313
74.035	2	rest	n/a	n/a
85.219	2	maint	1	1.227
89.486	2	rest	n/a	n/a
100.202	2	maint	0	0
105.753	2	rest	n/a	n/a
116.219	2	encod	0	1.42
120.836	2	rest	n/a	n/a
131.003	2	remov	1	0.997
134.587	2	rest	n/a	n/a
145.253	2	remov	1	1.152
149.237	2	rest	n/a	n/a
159.62	2	maint	1	1.017
163.271	2	rest	n/a	n/a
173.454	2	maint	1	1.252
177.421	2	rest	n/a	n/a
188.054	2	maint	1	0.989
191.738	2	rest	n/a	n/a
202.005	2	remov	1	1.021
206.172	2	rest	n/a	n/a
217.655	2	maint	0	1.001
221.822	2	rest	n/a	n/a
232.072	2	remov	1	1.027
236.006	2	rest	n/a	n/a
247.356	2	maint	1	1.061
251.573	2	rest	n/a	n/a
261.756	2	remov	1	0.998
265.89	2	rest	n/a	n/a
276.373	2	encod	1	1.204
280.523	2	rest	n/a	n/a
290.39	2	remov	1	1.018
294.574	2	rest	n/a	n/a
305.557	2	encod	1	0.875
309.624	2	rest	n/a	n/a
320.257	2	encod	1	1.012
324.524	2	rest	n/a	n/a
335.391	2	maint	1	0.841
339.008	2	rest	n/a	n/a
349.841	2	maint	1	1.08
354.258	2	rest	n/a	n/a
364.525	2	encod	1	0.939
368.825	2	rest	n/a	n/a
379.559	2	remov	1	1.197
383.642	2	rest	n/a	n/a
394.709	2	remov	1	1.075
398.959	2	rest	n/a	n/a
409.76	2	encod	1	0.932
413.993	2	rest	n/a	n/a
424.893	2	remov	1	0.847
428.61	2	rest	n/a	n/a
439.11	2	remov	0	0.911
443.477	2	rest	n/a	n/a
