onset	duration	trial_type	accuracy	response_time
8.667	2	maint	0	0
13.95	2	rest	n/a	n/a
24.45	2	remov	1	1.868
29.084	2	rest	n/a	n/a
39.034	2	encod	1	1.961
43.651	2	rest	n/a	n/a
54.068	2	remov	1	1.332
58.151	2	rest	n/a	n/a
69.185	2	remov	0	0
74.735	2	rest	n/a	n/a
85.168	2	maint	1	1.374
89.902	2	rest	n/a	n/a
101.169	2	remov	1	1.503
105.402	2	rest	n/a	n/a
116.136	2	maint	1	1.379
120.969	2	rest	n/a	n/a
131.32	2	encod	1	0.732
135.503	2	rest	n/a	n/a
146.387	2	remov	0	0
151.253	2	rest	n/a	n/a
161.554	2	maint	1	1.502
166.387	2	rest	n/a	n/a
177.154	2	remov	1	1.686
182.171	2	rest	n/a	n/a
192.371	2	maint	1	0.709
196.421	2	rest	n/a	n/a
207.405	2	encod	1	1.424
211.638	2	rest	n/a	n/a
222.439	2	remov	0	1.231
227.055	2	rest	n/a	n/a
237.222	2	remov	1	1.968
241.956	2	rest	n/a	n/a
252.789	2	remov	0	1.648
257.039	2	rest	n/a	n/a
267.54	2	maint	1	1.538
271.856	2	rest	n/a	n/a
282.24	2	maint	1	1.463
287.073	2	rest	n/a	n/a
298.057	2	remov	0	0
303.074	2	rest	n/a	n/a
313.274	2	maint	1	1.487
318.058	2	rest	n/a	n/a
328.941	2	maint	1	1.369
333.475	2	rest	n/a	n/a
343.392	2	encod	1	1.324
347.558	2	rest	n/a	n/a
357.992	2	maint	1	1.364
362.192	2	rest	n/a	n/a
372.709	2	maint	1	1.335
376.876	2	rest	n/a	n/a
387.209	2	maint	1	1.109
391.893	2	rest	n/a	n/a
403.11	2	maint	1	1.743
407.493	2	rest	n/a	n/a
418.043	2	encod	1	0.929
422.027	2	rest	n/a	n/a
433.01	2	maint	1	1.326
437.877	2	rest	n/a	n/a
448.261	2	encod	1	0.894
451.844	2	rest	n/a	n/a
