onset	duration	trial_type	accuracy	response_time
8.017	2	remov	0	0
13.267	2	rest	n/a	n/a
23.717	2	remov	0	0
29.267	2	rest	n/a	n/a
40.101	2	encod	0	0
45.151	2	rest	n/a	n/a
55.385	2	maint	0	0
60.785	2	rest	n/a	n/a
71.752	2	maint	0	0
76.985	2	rest	n/a	n/a
87.102	2	encod	0	1.407
91.619	2	rest	n/a	n/a
102.152	2	remov	1	1.405
107.036	2	rest	n/a	n/a
117.286	2	encod	0	1.362
121.486	2	rest	n/a	n/a
131.803	2	encod	1	1.559
136.137	2	rest	n/a	n/a
147.453	2	maint	1	1.522
152.42	2	rest	n/a	n/a
163.204	2	maint	0	1.23
167.221	2	rest	n/a	n/a
177.804	2	encod	0	1.754
183.021	2	rest	n/a	n/a
193.921	2	encod	1	1.126
198.288	2	rest	n/a	n/a
208.888	2	remov	0	1.385
213.655	2	rest	n/a	n/a
224.005	2	remov	1	1.067
228.472	2	rest	n/a	n/a
239.706	2	maint	1	1.279
243.572	2	rest	n/a	n/a
254.406	2	maint	1	1.415
258.706	2	rest	n/a	n/a
269.356	2	encod	1	1.211
273.606	2	rest	n/a	n/a
284.29	2	encod	1	1.434
288.457	2	rest	n/a	n/a
298.89	2	remov	1	1.667
303.824	2	rest	n/a	n/a
314.057	2	encod	0	1.8
318.624	2	rest	n/a	n/a
329.824	2	encod	0	1.293
334.608	2	rest	n/a	n/a
345.225	2	remov	1	1.196
349.708	2	rest	n/a	n/a
360.342	2	remov	1	1.523
364.858	2	rest	n/a	n/a
376.225	2	maint	1	1.326
380.592	2	rest	n/a	n/a
391.542	2	remov	1	1.054
395.693	2	rest	n/a	n/a
405.676	2	maint	1	1.859
410.76	2	rest	n/a	n/a
421.443	2	encod	1	1.22
425.893	2	rest	n/a	n/a
436.843	2	encod	1	1.577
441.31	2	rest	n/a	n/a
452.177	2	encod	1	1.43
456.827	2	rest	n/a	n/a
