onset	duration	trial_type	accuracy	response_time
8.45	2	encod	0	0.596
12.184	2	rest	n/a	n/a
22.667	2	remov	1	1.006
26.917	2	rest	n/a	n/a
36.818	2	remov	1	0.41
40.434	2	rest	n/a	n/a
50.835	2	maint	1	0.739
54.902	2	rest	n/a	n/a
65.952	2	maint	0	0.646
69.335	2	rest	n/a	n/a
79.319	2	maint	1	0.516
83.052	2	rest	n/a	n/a
93.736	2	remov	0	0.178
96.569	2	rest	n/a	n/a
107.153	2	remov	1	0.913
110.919	2	rest	n/a	n/a
121.62	2	maint	0	0.678
125.753	2	rest	n/a	n/a
136.237	2	remov	1	0.457
140.237	2	rest	n/a	n/a
150.337	2	remov	1	0.386
153.737	2	rest	n/a	n/a
164.437	2	encod	1	0.447
168.254	2	rest	n/a	n/a
178.704	2	remov	1	0.4
182.171	2	rest	n/a	n/a
193.105	2	maint	1	0.411
196.305	2	rest	n/a	n/a
206.622	2	encod	0	0.746
210.255	2	rest	n/a	n/a
221.522	2	maint	0	0.419
224.689	2	rest	n/a	n/a
235.289	2	remov	0	0.656
238.606	2	rest	n/a	n/a
249.689	2	maint	1	0.421
253.623	2	rest	n/a	n/a
264.373	2	encod	1	1.112
268.656	2	rest	n/a	n/a
279.64	2	maint	1	0.056
282.557	2	rest	n/a	n/a
293.64	2	maint	1	0.494
297.274	2	rest	n/a	n/a
308.274	2	remov	1	0.494
311.841	2	rest	n/a	n/a
322.108	2	encod	0	0.401
325.841	2	rest	n/a	n/a
336.041	2	maint	1	1.272
340.725	2	rest	n/a	n/a
350.975	2	encod	1	0.867
355.058	2	rest	n/a	n/a
366.042	2	encod	0	0.448
369.109	2	rest	n/a	n/a
380.026	2	encod	0	0.653
383.559	2	rest	n/a	n/a
393.409	2	remov	1	0.432
396.476	2	rest	n/a	n/a
406.476	2	encod	0	0.573
410.26	2	rest	n/a	n/a
420.343	2	maint	0	1.069
424.96	2	rest	n/a	n/a
