onset	duration	trial_type	accuracy	response_time
9.167	2	remov	0	0
14.667	2	rest	n/a	n/a
25.25	2	maint	0	0
30.1	2	rest	n/a	n/a
40.084	2	remov	1	1.15
44.734	2	rest	n/a	n/a
54.784	2	maint	0	0
60.134	2	rest	n/a	n/a
70.618	2	maint	1	1.214
75.401	2	rest	n/a	n/a
85.635	2	encod	1	1.47
90.435	2	rest	n/a	n/a
100.202	2	remov	1	1.038
104.802	2	rest	n/a	n/a
115.652	2	encod	0	0
120.469	2	rest	n/a	n/a
130.569	2	encod	1	1.217
135.27	2	rest	n/a	n/a
145.936	2	maint	1	1.418
150.853	2	rest	n/a	n/a
162.17	2	maint	0	0
167.47	2	rest	n/a	n/a
178.887	2	remov	0	0
184.204	2	rest	n/a	n/a
195.121	2	remov	0	0
200.438	2	rest	n/a	n/a
211.205	2	remov	1	1.874
215.671	2	rest	n/a	n/a
226.055	2	encod	1	1.356
230.088	2	rest	n/a	n/a
241.055	2	remov	0	0
246.572	2	rest	n/a	n/a
256.506	2	remov	0	0
261.089	2	rest	n/a	n/a
271.506	2	remov	0	1.551
276.19	2	rest	n/a	n/a
287.29	2	maint	0	0.878
291.74	2	rest	n/a	n/a
302.64	2	maint	1	1.456
307.04	2	rest	n/a	n/a
317.857	2	maint	1	1.81
322.524	2	rest	n/a	n/a
333.274	2	encod	1	1.765
338.224	2	rest	n/a	n/a
349.608	2	maint	0	0
354.691	2	rest	n/a	n/a
365.025	2	maint	1	1.079
368.858	2	rest	n/a	n/a
379.342	2	remov	1	1.162
383.459	2	rest	n/a	n/a
394.076	2	maint	0	0
399.342	2	rest	n/a	n/a
410.293	2	remov	0	0
415.443	2	rest	n/a	n/a
426.843	2	remov	0	0
431.41	2	rest	n/a	n/a
441.793	2	remov	1	1.008
445.91	2	rest	n/a	n/a
457.21	2	maint	0	0
462.494	2	rest	n/a	n/a
