onset	duration	trial_type	accuracy	response_time
8.333	2	encod	1	1.265
12.233	2	rest	n/a	n/a
23.617	2	remov	0	0
28.8	2	rest	n/a	n/a
39.134	2	encod	0	1.201
42.934	2	rest	n/a	n/a
53.984	2	maint	0	0
58.651	2	rest	n/a	n/a
68.701	2	maint	1	1.195
72.485	2	rest	n/a	n/a
82.818	2	maint	0	0
87.702	2	rest	n/a	n/a
97.919	2	remov	0	0
103.352	2	rest	n/a	n/a
113.952	2	maint	1	1.145
117.853	2	rest	n/a	n/a
128.169	2	encod	1	0.995
132.453	2	rest	n/a	n/a
143.203	2	encod	1	0.802
147.27	2	rest	n/a	n/a
157.687	2	remov	1	1.843
162.654	2	rest	n/a	n/a
173.687	2	remov	1	1.492
178.487	2	rest	n/a	n/a
189.571	2	encod	1	1.308
193.704	2	rest	n/a	n/a
204.371	2	maint	1	1.807
209.288	2	rest	n/a	n/a
219.122	2	encod	1	1.185
223.222	2	rest	n/a	n/a
234.089	2	remov	1	1.761
239.189	2	rest	n/a	n/a
248.972	2	maint	1	0.916
252.472	2	rest	n/a	n/a
262.856	2	maint	1	1.368
267.206	2	rest	n/a	n/a
277.94	2	encod	1	1.414
282.906	2	rest	n/a	n/a
293.857	2	maint	1	1.413
298.107	2	rest	n/a	n/a
308.24	2	encod	1	1.44
312.841	2	rest	n/a	n/a
323.357	2	maint	1	1.438
327.674	2	rest	n/a	n/a
338.341	2	encod	0	0
343.058	2	rest	n/a	n/a
353.675	2	remov	1	1.247
358.058	2	rest	n/a	n/a
368.542	2	maint	1	1.721
373.475	2	rest	n/a	n/a
383.959	2	maint	1	0.935
387.926	2	rest	n/a	n/a
399.009	2	remov	0	0
404.459	2	rest	n/a	n/a
414.743	2	remov	1	1.591
419.176	2	rest	n/a	n/a
429.943	2	encod	1	1.337
434.46	2	rest	n/a	n/a
445.077	2	remov	0	1.307
449.361	2	rest	n/a	n/a
