onset	duration	trial_type	accuracy	response_time
9.501	2	encod	1	1.067
13.367	2	rest	n/a	n/a
23.734	2	encod	1	0.996
27.851	2	rest	n/a	n/a
38.368	2	encod	1	1.07
42.068	2	rest	n/a	n/a
52.368	2	maint	1	1.787
57.252	2	rest	n/a	n/a
68.085	2	remov	1	1.399
72.352	2	rest	n/a	n/a
83.069	2	maint	0	1.796
88.419	2	rest	n/a	n/a
98.503	2	remov	1	1.986
103.253	2	rest	n/a	n/a
113.87	2	encod	1	0.756
117.553	2	rest	n/a	n/a
128.237	2	encod	1	1.439
133.154	2	rest	n/a	n/a
143.887	2	encod	0	0
148.971	2	rest	n/a	n/a
160.154	2	remov	1	1.42
164.788	2	rest	n/a	n/a
176.038	2	maint	0	1.631
180.338	2	rest	n/a	n/a
191.755	2	encod	1	1.084
195.655	2	rest	n/a	n/a
206.889	2	remov	1	1.127
211.406	2	rest	n/a	n/a
222.372	2	remov	0	1.691
227.056	2	rest	n/a	n/a
237.306	2	maint	1	1.877
241.789	2	rest	n/a	n/a
253.106	2	encod	1	0.902
257.573	2	rest	n/a	n/a
268.14	2	encod	0	0
273.64	2	rest	n/a	n/a
284.657	2	remov	0	0
289.707	2	rest	n/a	n/a
301.108	2	remov	1	1.021
305.291	2	rest	n/a	n/a
316.041	2	encod	1	1.407
320.808	2	rest	n/a	n/a
330.992	2	maint	1	1.14
335.225	2	rest	n/a	n/a
345.975	2	maint	1	0.998
349.825	2	rest	n/a	n/a
360.192	2	maint	1	1.392
364.176	2	rest	n/a	n/a
374.776	2	encod	1	1.712
379.076	2	rest	n/a	n/a
389.776	2	maint	1	0.774
393.976	2	rest	n/a	n/a
404.06	2	encod	0	0
408.86	2	rest	n/a	n/a
418.627	2	encod	1	0.974
422.744	2	rest	n/a	n/a
433.527	2	maint	1	0.869
437.077	2	rest	n/a	n/a
447.311	2	maint	0	1.674
451.944	2	rest	n/a	n/a
