onset	duration	trial_type	accuracy	response_time
8.65	2	maint	1	1.303
13.1	2	rest	n/a	n/a
24.217	2	maint	1	1.064
28.434	2	rest	n/a	n/a
38.351	2	maint	1	1.006
42.601	2	rest	n/a	n/a
53.535	2	maint	1	0.997
57.435	2	rest	n/a	n/a
68.468	2	remov	1	1.756
72.785	2	rest	n/a	n/a
83.652	2	remov	1	1.551
87.902	2	rest	n/a	n/a
99.102	2	encod	0	1.438
103.803	2	rest	n/a	n/a
114.286	2	encod	0	0
119.42	2	rest	n/a	n/a
129.803	2	remov	1	1.853
134.42	2	rest	n/a	n/a
145.32	2	remov	1	1.703
150.07	2	rest	n/a	n/a
160.971	2	maint	1	1.425
165.087	2	rest	n/a	n/a
175.188	2	remov	1	1.365
179.721	2	rest	n/a	n/a
191.205	2	maint	0	0
196.522	2	rest	n/a	n/a
207.555	2	remov	0	0
212.422	2	rest	n/a	n/a
222.489	2	maint	1	1.946
227.139	2	rest	n/a	n/a
237.856	2	encod	0	0
242.423	2	rest	n/a	n/a
253.556	2	remov	0	0
258.273	2	rest	n/a	n/a
268.523	2	remov	1	1.462
273.34	2	rest	n/a	n/a
283.724	2	remov	1	1.693
288.174	2	rest	n/a	n/a
299.358	2	remov	0	0
304.874	2	rest	n/a	n/a
316.341	2	encod	0	0
321.341	2	rest	n/a	n/a
332.792	2	maint	1	1.209
337.575	2	rest	n/a	n/a
348.309	2	maint	0	1.648
353.026	2	rest	n/a	n/a
363.459	2	remov	1	1.838
368.843	2	rest	n/a	n/a
378.826	2	encod	1	1.418
383.51	2	rest	n/a	n/a
394.377	2	maint	1	1.48
399.227	2	rest	n/a	n/a
408.977	2	maint	1	1.439
412.994	2	rest	n/a	n/a
424.144	2	remov	1	1.222
427.978	2	rest	n/a	n/a
438.261	2	remov	0	1.273
442.945	2	rest	n/a	n/a
452.611	2	remov	1	1.281
457.362	2	rest	n/a	n/a
