onset	duration	trial_type	accuracy	response_time
8.951	2	encod	1	0.903
12.551	2	rest	n/a	n/a
22.968	2	encod	1	1.555
27.884	2	rest	n/a	n/a
38.551	2	maint	1	0.727
41.968	2	rest	n/a	n/a
52.835	2	remov	0	0
58.368	2	rest	n/a	n/a
69.402	2	maint	1	1.211
73.735	2	rest	n/a	n/a
84.936	2	remov	0	1.766
90.186	2	rest	n/a	n/a
100.819	2	remov	1	1.316
105.186	2	rest	n/a	n/a
116.286	2	remov	1	0.877
120.52	2	rest	n/a	n/a
131.387	2	maint	1	0.843
134.937	2	rest	n/a	n/a
145.487	2	remov	1	1.019
149.271	2	rest	n/a	n/a
159.687	2	remov	1	1.28
163.804	2	rest	n/a	n/a
175.004	2	remov	0	0.983
179.138	2	rest	n/a	n/a
189.721	2	maint	1	0.772
193.772	2	rest	n/a	n/a
204.272	2	encod	1	1.001
208.489	2	rest	n/a	n/a
219.522	2	remov	0	0.66
222.872	2	rest	n/a	n/a
233.106	2	encod	1	0.965
237.139	2	rest	n/a	n/a
248.223	2	encod	1	1.693
253.256	2	rest	n/a	n/a
264.073	2	remov	1	1.033
268.073	2	rest	n/a	n/a
278.357	2	encod	1	0.83
282.357	2	rest	n/a	n/a
293.474	2	remov	1	1.55
298.257	2	rest	n/a	n/a
309.508	2	encod	1	1.071
313.341	2	rest	n/a	n/a
324.391	2	remov	1	0.775
328.041	2	rest	n/a	n/a
338.175	2	encod	0	0.943
341.809	2	rest	n/a	n/a
352.859	2	encod	1	0.901
357.009	2	rest	n/a	n/a
367.476	2	encod	1	1.077
371.576	2	rest	n/a	n/a
381.643	2	remov	1	1.004
385.893	2	rest	n/a	n/a
397.01	2	remov	1	1.471
401.493	2	rest	n/a	n/a
411.91	2	maint	1	0.927
415.56	2	rest	n/a	n/a
425.677	2	encod	1	1.05
429.977	2	rest	n/a	n/a
441.127	2	maint	1	0.954
444.678	2	rest	n/a	n/a
